nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Kependudukan dan Pencatatan Sipil","PENELAAH TEKNIS KEBIJAKAN",,5
"Dinas Kebudayaan Dan Pariwisata","PENELAAH TEKNIS KEBIJAKAN",,5
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","PENELAAH TEKNIS KEBIJAKAN",,5
"RSUD Srengat","Perawat Ahli Muda",,5
"Dinas Ketahanan Pangan dan Pertanian","Analis Prasarana dan Sarana Pertanian Ahli Muda",,5
"SEKRETARIAT DAERAH","PENGOLAH DATA DAN INFORMASI",,5
"RSUD Srengat","Apoteker Ahli Pertama",,5
"Dinas Kependudukan dan Pencatatan Sipil","Penata Kependudukan dan Keluarga Berencana Ahli Muda",,5
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENELAAH TEKNIS KEBIJAKAN",,5
"Dinas Sosial","Analis Kebijakan Ahli Muda",,5
"Dinas Pendidikan","Guru Dewasa Tingkat. I",,5
"RSUD Ngudi Waluyo Wlingi","Perekam Medis Terampil",,5
"Dinas Pendidikan",Guru,,5
"Dinas Perhubungan","Penguji Kendaraan Bermotor Terampil",,5
"RSUD Srengat","Perawat Mahir",,5
"RSUD Ngudi Waluyo Wlingi","Apoteker Ahli Muda",,5
,"AHLI PERTAMA - PENYULUH KESEHATAN MASYARAKAT",,5
"PEMERINTAH KABUPATEN BLITAR -","Guru Ahli Pertama",,5
"Dinas Kesehatan","Perawat Ahli Pertama",,5
"Dinas Kebudayaan Dan Pariwisata","PENATA LAYANAN OPERASIONAL",,5
"Dinas Kesehatan","Bidan Ahli Pertama",,5
"Dinas Kesehatan","PELAKSANA/TERAMPIL - TERAPIS GIGI DAN MULUT",,5
"Dinas Perhubungan","PENGAWAS TRANSPORTASI DARAT",,4
"Dinas Kesehatan","Perawat Pelaksana Lanjutan / Mahir",,4
"Dinas Kesehatan","Pranata Laboratorium Kesehatan Pelaksana Lanjutan / Mahir",,4
